epoch,accuracy,f1-score,iou_score,loss,lr,precision,recall,val_accuracy,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.16086922585964203,0.02523007057607174,0.0133286714553833,1.009062647819519,1e-05,0.09914635866880417,0.004591736011207104,0.4736941158771515,0.0010893438011407852,0.0010893438011407852,0.9893298149108887,0.0,0.0
1,0.3828013837337494,0.07001160085201263,0.04120796173810959,0.9769994020462036,1e-05,0.27903878688812256,0.012769886292517185,0.25144967436790466,0.0010893442668020725,0.0010893442668020725,0.9990915656089783,0.0,0.0
2,0.4740311801433563,0.12071610242128372,0.07808012515306473,0.9514586329460144,1e-05,0.4186296761035919,0.02728080376982689,0.4216810166835785,0.020546071231365204,0.011325811967253685,0.9766963124275208,0.9218226671218872,0.09312337636947632
3,0.5315859913825989,0.16742725670337677,0.11258810758590698,0.9297206401824951,1e-05,0.6305230855941772,0.06726338714361191,0.4355895221233368,0.041407544165849686,0.02548316679894924,0.9748620390892029,0.8747128844261169,0.2147698551416397
4,0.573077380657196,0.2524093985557556,0.17260859906673431,0.9098513722419739,1e-05,0.8248324394226074,0.21788638830184937,0.589962363243103,0.0629725381731987,0.044045232236385345,0.9542260766029358,0.9281069040298462,0.37059974670410156
5,0.6127249598503113,0.30437734723091125,0.21699558198451996,0.891622006893158,1e-05,0.8808287978172302,0.3724862337112427,0.7141082882881165,0.08332788944244385,0.06648697704076767,0.9347375631332397,0.9666031002998352,0.5441281795501709
6,0.6510071158409119,0.33274006843566895,0.24340832233428955,0.874483048915863,1e-05,0.898504912853241,0.44547826051712036,0.758609414100647,0.08519146591424942,0.0691615492105484,0.9291045069694519,0.9877640008926392,0.5681446194648743
7,0.6821134090423584,0.3495500981807709,0.26126089692115784,0.8608571290969849,1e-05,0.9063101410865784,0.4765666425228119,0.7899409532546997,0.08944851160049438,0.07288207858800888,0.9243069291114807,0.9930817484855652,0.5857188105583191
8,0.7025004625320435,0.3608657121658325,0.27356189489364624,0.8498571515083313,1e-05,0.9107337594032288,0.49669942259788513,0.767798900604248,0.11121612787246704,0.08327659964561462,0.915995180606842,0.9944679737091064,0.5562742352485657
9,0.7179387211799622,0.3736693561077118,0.2870869040489197,0.8371208906173706,1e-05,0.9166495203971863,0.5136380195617676,0.7768862843513489,0.20585040748119354,0.14393290877342224,0.889623761177063,0.9817178249359131,0.5304828882217407
10,0.7333977818489075,0.3826732337474823,0.2965978682041168,0.8273928761482239,1e-05,0.9211639761924744,0.528512716293335,0.7591416835784912,0.3019726276397705,0.21811561286449432,0.8623706102371216,0.960490882396698,0.5309657454490662
11,0.7437772750854492,0.3906829059123993,0.3058837354183197,0.8191736936569214,1e-05,0.9259158968925476,0.541588544845581,0.7742457389831543,0.37297937273979187,0.2832859456539154,0.8316964507102966,0.9476059079170227,0.5573842525482178
12,0.7613422274589539,0.40293753147125244,0.31675824522972107,0.8110809922218323,1e-05,0.9278558492660522,0.5513020753860474,0.7883387804031372,0.3863925039768219,0.29761970043182373,0.8192097544670105,0.9386921525001526,0.5639243125915527
13,0.7864411473274231,0.42091622948646545,0.3308666944503784,0.8013325333595276,1e-05,0.931932806968689,0.5595594048500061,0.7982469201087952,0.40109047293663025,0.30675947666168213,0.8077430725097656,0.932650089263916,0.5641051530838013
14,0.8107399940490723,0.43961817026138306,0.3463183343410492,0.7934250831604004,1e-05,0.9348658919334412,0.5662600994110107,0.8240886926651001,0.4001491069793701,0.30556580424308777,0.8000344634056091,0.9279963970184326,0.5727450251579285
15,0.8357819318771362,0.4508037865161896,0.35733282566070557,0.7864433526992798,1e-05,0.9369463324546814,0.5744357109069824,0.8533956408500671,0.41849273443222046,0.3219369351863861,0.7909052968025208,0.9358030557632446,0.5769091844558716
16,0.8604410290718079,0.4663471579551697,0.37209418416023254,0.7761660814285278,1e-05,0.9400869011878967,0.584895133972168,0.8626221418380737,0.41168802976608276,0.3162683844566345,0.7853457927703857,0.9321069717407227,0.5868757963180542
17,0.8754697442054749,0.4776567220687866,0.3843574523925781,0.7660534977912903,1e-05,0.943261444568634,0.5925352573394775,0.8793361186981201,0.4382117688655853,0.3399503231048584,0.774813175201416,0.9384211897850037,0.5964096188545227
18,0.8845840096473694,0.4847865402698517,0.3916064202785492,0.7574917078018188,1e-05,0.9449480175971985,0.5973571538925171,0.8872803449630737,0.4321795701980591,0.33579909801483154,0.7684048414230347,0.9398950934410095,0.6036711931228638
19,0.889914870262146,0.4859418272972107,0.39432746171951294,0.751261830329895,1e-05,0.9449043273925781,0.6021580696105957,0.8926905393600464,0.4390038549900055,0.343399316072464,0.7624146938323975,0.9415451884269714,0.598630428314209
20,0.8946022987365723,0.4887717068195343,0.39802655577659607,0.7444911003112793,1e-05,0.9465668201446533,0.6063953638076782,0.8940513730049133,0.4491710364818573,0.35066837072372437,0.7518541812896729,0.9407912492752075,0.6043496131896973
21,0.8990442752838135,0.4967164695262909,0.4067157208919525,0.73409104347229,1e-05,0.9493556022644043,0.6118098497390747,0.8961120247840881,0.45541703701019287,0.3583410680294037,0.7467420697212219,0.9442964196205139,0.6138843894004822
22,0.8986755609512329,0.49245476722717285,0.4046461880207062,0.7302345633506775,1e-05,0.9478184580802917,0.6145749688148499,0.8999279737472534,0.46726447343826294,0.3689601421356201,0.7368960380554199,0.9478615522384644,0.6199386715888977
23,0.9015068411827087,0.5000250339508057,0.41196754574775696,0.7198877334594727,1e-05,0.9514375925064087,0.6206005811691284,0.9001248478889465,0.47919395565986633,0.38284119963645935,0.7304362654685974,0.9515888094902039,0.6219582557678223
24,0.903613269329071,0.5101010799407959,0.4217809736728668,0.7073556780815125,1e-05,0.9549405574798584,0.6262921094894409,0.896759033203125,0.48150238394737244,0.38266727328300476,0.718542218208313,0.9463471174240112,0.6331813335418701
25,0.9023556709289551,0.5134781002998352,0.4267909824848175,0.7001309990882874,1e-05,0.9555014967918396,0.6321815252304077,0.8992884159088135,0.4852774143218994,0.3878003656864166,0.7118139266967773,0.9510356783866882,0.6426844000816345
26,0.9023202061653137,0.5137951970100403,0.42853790521621704,0.6926379203796387,1e-05,0.9569521546363831,0.6371280550956726,0.895907998085022,0.476996511220932,0.3798689842224121,0.7091593742370605,0.9494650959968567,0.6473020911216736
27,0.9001548886299133,0.5088547468185425,0.4245929419994354,0.6883755326271057,1e-05,0.9561811089515686,0.641421377658844,0.9015870690345764,0.496992290019989,0.40119561553001404,0.696449875831604,0.9552703499794006,0.6526186466217041
28,0.9008647203445435,0.512023389339447,0.4310064911842346,0.6802899241447449,1e-05,0.9566906094551086,0.6459063291549683,0.9001997113227844,0.4938318729400635,0.3976440727710724,0.6893996596336365,0.9553734660148621,0.6566309928894043
29,0.903215229511261,0.5243256688117981,0.44241294264793396,0.6648935079574585,1e-05,0.9611260890960693,0.6541687250137329,0.9018514752388,0.49663761258125305,0.401166170835495,0.6831018328666687,0.9572615623474121,0.6606869101524353
30,0.9049045443534851,0.5242671966552734,0.4425908029079437,0.6568521857261658,1e-05,0.9619040489196777,0.657305121421814,0.9003627896308899,0.4945125877857208,0.39776667952537537,0.6736016273498535,0.9541708827018738,0.6625961065292358
31,0.9055309891700745,0.5153173804283142,0.43710923194885254,0.655506432056427,1e-05,0.9596019387245178,0.6596482992172241,0.9071046710014343,0.5036470293998718,0.40832051634788513,0.6613636612892151,0.9594751000404358,0.6718449592590332
32,0.910814642906189,0.5283578634262085,0.44937336444854736,0.6391078233718872,1e-05,0.9633873701095581,0.665953516960144,0.9081581830978394,0.5052946209907532,0.4105883538722992,0.65267014503479,0.9601054191589355,0.6741343140602112
33,0.9162294268608093,0.5322605967521667,0.4536072611808777,0.6283152103424072,1e-05,0.9659219980239868,0.670481264591217,0.9122061729431152,0.5017510056495667,0.4063364565372467,0.6476751565933228,0.9590275883674622,0.6791942119598389
34,0.9223118424415588,0.538001537322998,0.4597230851650238,0.6168245077133179,1e-05,0.9675484299659729,0.6756906509399414,0.9187310934066772,0.5054652094841003,0.4106918275356293,0.6351495385169983,0.9617457389831543,0.6855392456054688
35,0.9255151152610779,0.5277979373931885,0.45294609665870667,0.6162252426147461,1e-05,0.9650369882583618,0.6773039102554321,0.925027072429657,0.5092334747314453,0.4170147776603699,0.6260930895805359,0.9638538956642151,0.6952680945396423
36,0.9356545805931091,0.534115195274353,0.45887869596481323,0.6033937335014343,1e-05,0.9671783447265625,0.6828199625015259,0.9396085739135742,0.5117941498756409,0.41998720169067383,0.6177654266357422,0.964246928691864,0.6990460157394409
37,0.9488418698310852,0.543714165687561,0.4693933129310608,0.5881496667861938,1e-05,0.9696084260940552,0.6895822286605835,0.9449216723442078,0.5102326273918152,0.4184247851371765,0.6115373373031616,0.9637802839279175,0.7000988125801086
38,0.9555152654647827,0.5507675409317017,0.47659552097320557,0.5750682950019836,1e-05,0.9726758599281311,0.7047644853591919,0.9494878053665161,0.5052621960639954,0.4121127724647522,0.6074724197387695,0.9653810262680054,0.70958012342453
39,0.9577094316482544,0.5493025183677673,0.4777184724807739,0.569525420665741,1e-05,0.9726234674453735,0.7337731719017029,0.9534826874732971,0.5204393267631531,0.4306919276714325,0.5951230525970459,0.9686402678489685,0.7333369255065918
40,0.9613686203956604,0.5585469603538513,0.48967865109443665,0.5574830770492554,1e-05,0.9756986498832703,0.7825239300727844,0.9568803906440735,0.5272254347801208,0.44136038422584534,0.5837953686714172,0.9715390205383301,0.7914254665374756
41,0.9634743332862854,0.5600255727767944,0.49399566650390625,0.5499230623245239,1e-05,0.9765599370002747,0.82195645570755,0.958052396774292,0.528157114982605,0.44277358055114746,0.5760843753814697,0.9710792303085327,0.8260656595230103
